"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","HUR","TOT","PC_LF","Q","2021-Q3",5.1,
"ISL","HUR","TOT","PC_LF","Q","2021-Q4",4.5,
"ISL","HUR","TOT","PC_LF","Q","2022-Q1",4.2,
"ISL","HUR","TOT","PC_LF","Q","2022-Q2",3.966667,
"ISL","HUR","TOT","PC_LF","Q","2022-Q3",4,
"IRL","HUR","TOT","PC_LF","Q","2021-Q1",7.2,
"IRL","HUR","TOT","PC_LF","Q","2021-Q2",7,
"IRL","HUR","TOT","PC_LF","Q","2021-Q3",5.566667,
"IRL","HUR","TOT","PC_LF","Q","2021-Q4",5.166667,
"IRL","HUR","TOT","PC_LF","Q","2022-Q1",4.8,
"IRL","HUR","TOT","PC_LF","Q","2022-Q2",4.333333,
"IRL","HUR","TOT","PC_LF","Q","2022-Q3",4.366667,
"ITA","HUR","TOT","PC_LF","Q","2021-Q1",10.16667,
"ITA","HUR","TOT","PC_LF","Q","2021-Q2",9.8,
"ITA","HUR","TOT","PC_LF","Q","2021-Q3",9.1,
"ITA","HUR","TOT","PC_LF","Q","2021-Q4",9,
"ITA","HUR","TOT","PC_LF","Q","2022-Q1",8.5,
"ITA","HUR","TOT","PC_LF","Q","2022-Q2",8.1,
"ITA","HUR","TOT","PC_LF","Q","2022-Q3",7.966667,
"JPN","HUR","TOT","PC_LF","Q","2021-Q1",2.866667,
"JPN","HUR","TOT","PC_LF","Q","2021-Q2",2.866667,
"JPN","HUR","TOT","PC_LF","Q","2021-Q3",2.8,
"JPN","HUR","TOT","PC_LF","Q","2021-Q4",2.733333,
"JPN","HUR","TOT","PC_LF","Q","2022-Q1",2.7,
"JPN","HUR","TOT","PC_LF","Q","2022-Q2",2.566667,
"JPN","HUR","TOT","PC_LF","Q","2022-Q3",2.566667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q1",4.3,
"KOR","HUR","TOT","PC_LF","Q","2021-Q2",3.666667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q3",3.166667,
"KOR","HUR","TOT","PC_LF","Q","2021-Q4",3.4,
"KOR","HUR","TOT","PC_LF","Q","2022-Q1",3,
"KOR","HUR","TOT","PC_LF","Q","2022-Q2",2.8,
"KOR","HUR","TOT","PC_LF","Q","2022-Q3",2.733333,
"LUX","HUR","TOT","PC_LF","Q","2021-Q1",6.266667,
"LUX","HUR","TOT","PC_LF","Q","2021-Q2",5.566667,
"LUX","HUR","TOT","PC_LF","Q","2021-Q3",5.1,
"LUX","HUR","TOT","PC_LF","Q","2021-Q4",4.733333,
"LUX","HUR","TOT","PC_LF","Q","2022-Q1",4.466667,
"LUX","HUR","TOT","PC_LF","Q","2022-Q2",4.3,
"LUX","HUR","TOT","PC_LF","Q","2022-Q3",4.4,
"MEX","HUR","TOT","PC_LF","Q","2021-Q1",4.386921,
"MEX","HUR","TOT","PC_LF","Q","2021-Q2",4.333285,
"MEX","HUR","TOT","PC_LF","Q","2021-Q3",4.020011,
"MEX","HUR","TOT","PC_LF","Q","2021-Q4",3.810726,
"MEX","HUR","TOT","PC_LF","Q","2022-Q1",3.502649,
"MEX","HUR","TOT","PC_LF","Q","2022-Q2",3.285818,
"MEX","HUR","TOT","PC_LF","Q","2022-Q3",3.199325,
"NLD","HUR","TOT","PC_LF","Q","2021-Q1",4.666667,
"NLD","HUR","TOT","PC_LF","Q","2021-Q2",4.366667,
"NLD","HUR","TOT","PC_LF","Q","2021-Q3",4.133333,
"NLD","HUR","TOT","PC_LF","Q","2021-Q4",3.8,
"NLD","HUR","TOT","PC_LF","Q","2022-Q1",3.433333,
"NLD","HUR","TOT","PC_LF","Q","2022-Q2",3.3,
"NLD","HUR","TOT","PC_LF","Q","2022-Q3",3.733333,
"NZL","HUR","TOT","PC_LF","Q","2021-Q1",4.6,
"NZL","HUR","TOT","PC_LF","Q","2021-Q2",3.9,
"NZL","HUR","TOT","PC_LF","Q","2021-Q3",3.3,
"NZL","HUR","TOT","PC_LF","Q","2021-Q4",3.2,
"NZL","HUR","TOT","PC_LF","Q","2022-Q1",3.2,
"NZL","HUR","TOT","PC_LF","Q","2022-Q2",3.3,
"NZL","HUR","TOT","PC_LF","Q","2022-Q3",3.3,
"NOR","HUR","TOT","PC_LF","Q","2021-Q1",5,
"NOR","HUR","TOT","PC_LF","Q","2021-Q2",5,
"NOR","HUR","TOT","PC_LF","Q","2021-Q3",4.266667,
"NOR","HUR","TOT","PC_LF","Q","2021-Q4",3.566667,
"NOR","HUR","TOT","PC_LF","Q","2022-Q1",3.3,
"NOR","HUR","TOT","PC_LF","Q","2022-Q2",3.133333,
"NOR","HUR","TOT","PC_LF","Q","2022-Q3",3.266667,
"POL","HUR","TOT","PC_LF","Q","2021-Q1",3.666667,
"POL","HUR","TOT","PC_LF","Q","2021-Q2",3.6,
"POL","HUR","TOT","PC_LF","Q","2021-Q3",3.166667,
"POL","HUR","TOT","PC_LF","Q","2021-Q4",3,
"POL","HUR","TOT","PC_LF","Q","2022-Q1",2.8,
"POL","HUR","TOT","PC_LF","Q","2022-Q2",2.833333,
"POL","HUR","TOT","PC_LF","Q","2022-Q3",2.966667,
"PRT","HUR","TOT","PC_LF","Q","2021-Q1",6.866667,
"PRT","HUR","TOT","PC_LF","Q","2021-Q2",6.933333,
"PRT","HUR","TOT","PC_LF","Q","2021-Q3",6.4,
